Timestamp,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Hand_X_0,Hand_Y_0,Hand_X_1,Hand_Y_1,Hand_X_2,Hand_Y_2,Hand_X_3,Hand_Y_3,Hand_X_4,Hand_Y_4,Hand_X_5,Hand_Y_5,Hand_X_6,Hand_Y_6,Hand_X_7,Hand_Y_7,Hand_X_8,Hand_Y_8,Hand_X_9,Hand_Y_9,Hand_X_10,Hand_Y_10,Hand_X_11,Hand_Y_11,Hand_X_12,Hand_Y_12,Hand_X_13,Hand_Y_13,Hand_X_14,Hand_Y_14,Hand_X_15,Hand_Y_15,Hand_X_16,Hand_Y_16,Hand_X_17,Hand_Y_17,Hand_X_18,Hand_Y_18,Hand_X_19,Hand_Y_19,Hand_X_20,Hand_Y_20
0.092,13,0,0,0,0,-2440,124,-16568,59,-5,-45,0.2823,0.8047,0.3383,0.7355,0.3713,0.6696,0.4046,0.613,0.426,0.571,0.2874,0.6001,0.2926,0.5224,0.295,0.4804,0.2962,0.447,0.2438,0.6222,0.2358,0.5306,0.2296,0.4817,0.2256,0.4496,0.2095,0.6627,0.184,0.5882,0.1706,0.5444,0.1624,0.5109,0.1821,0.7124,0.1559,0.6645,0.1402,0.6296,0.1307,0.606
0.188,13,0,0,0,0,-2440,124,-16568,59,-5,-45,0.2814,0.8033,0.3374,0.732,0.3688,0.6689,0.4015,0.6108,0.4235,0.5676,0.2861,0.5975,0.2906,0.5187,0.2933,0.4784,0.2943,0.4461,0.2424,0.619,0.2346,0.5282,0.2286,0.4803,0.2248,0.4489,0.2082,0.659,0.1824,0.586,0.1695,0.5446,0.1614,0.5129,0.1803,0.7093,0.1543,0.661,0.1391,0.6272,0.1305,0.6048
0.298,13,0,0,0,0,-2440,124,-16568,59,-5,-45,0.2795,0.8019,0.3363,0.7325,0.3681,0.6672,0.4013,0.6108,0.4237,0.5696,0.2847,0.5948,0.2897,0.5171,0.2926,0.4775,0.2941,0.4469,0.2408,0.6174,0.2333,0.5272,0.2277,0.4794,0.2245,0.4491,0.2068,0.6582,0.1811,0.586,0.1688,0.5436,0.1612,0.511,0.1792,0.7089,0.1533,0.6634,0.1378,0.63,0.1286,0.6075
0.394,13,0,0,0,0,-2440,124,-16568,59,-5,-45,0.2788,0.8065,0.3346,0.7346,0.3662,0.6694,0.3988,0.6131,0.4209,0.5708,0.2836,0.5997,0.2881,0.5205,0.2911,0.4798,0.2926,0.4466,0.2398,0.6213,0.2323,0.5302,0.2267,0.4807,0.223,0.4475,0.2057,0.6612,0.1801,0.5874,0.1673,0.5446,0.159,0.5111,0.1777,0.7114,0.1519,0.6628,0.1367,0.6286,0.1281,0.6054
0.49,13,0,0,0,0,-2440,124,-16568,59,-5,-45,0.2787,0.8098,0.3339,0.7392,0.3651,0.6726,0.3991,0.6149,0.4226,0.5729,0.2826,0.6013,0.288,0.5224,0.2909,0.4818,0.2921,0.4495,0.239,0.6228,0.232,0.5307,0.2273,0.4823,0.2247,0.4514,0.2046,0.6636,0.1793,0.5892,0.1668,0.5452,0.1591,0.512,0.1774,0.7139,0.1513,0.6655,0.1362,0.6314,0.1272,0.6086
0.589,27,0,0,0,0,-2464,144,-16540,66,9,-41,0.2756,0.814,0.3314,0.7432,0.363,0.6778,0.3972,0.6206,0.4207,0.5777,0.2812,0.6067,0.2857,0.528,0.2886,0.4877,0.29,0.4546,0.2377,0.6273,0.2309,0.5361,0.2264,0.4857,0.224,0.4525,0.2033,0.6673,0.1784,0.5922,0.1662,0.5489,0.159,0.5157,0.1754,0.7181,0.1498,0.668,0.1351,0.633,0.1269,0.6088
0.71,27,0,0,0,0,-2464,144,-16540,66,9,-41,0.2742,0.8194,0.3302,0.7499,0.3614,0.6846,0.3957,0.6258,0.4187,0.5819,0.2799,0.6093,0.2855,0.5287,0.2882,0.4876,0.2886,0.4553,0.2361,0.6299,0.2301,0.5375,0.2261,0.4884,0.2236,0.4574,0.2018,0.6698,0.177,0.595,0.1652,0.5515,0.1579,0.5188,0.1745,0.7195,0.1492,0.6708,0.1348,0.6366,0.1266,0.6136
0.796,27,0,0,0,0,-2464,144,-16540,66,9,-41,0.2727,0.8199,0.3277,0.7493,0.3596,0.6843,0.3952,0.6281,0.4186,0.5855,0.279,0.6091,0.2856,0.5287,0.2887,0.4894,0.2894,0.4589,0.2354,0.6301,0.2295,0.5386,0.2258,0.4906,0.2236,0.4611,0.2009,0.6703,0.1768,0.5963,0.1654,0.5536,0.1582,0.5214,0.1734,0.7198,0.1488,0.6718,0.1352,0.6384,0.1273,0.6157
0.888,27,0,0,0,0,-2464,144,-16540,66,9,-41,0.2729,0.8222,0.3273,0.7519,0.3589,0.6869,0.3943,0.6307,0.4178,0.5881,0.2788,0.6144,0.2847,0.5356,0.2881,0.4954,0.2895,0.463,0.2351,0.6337,0.2289,0.5431,0.2246,0.4943,0.2218,0.4628,0.2006,0.6726,0.1763,0.5986,0.1643,0.5565,0.1569,0.5242,0.1731,0.7223,0.1481,0.6741,0.1345,0.6414,0.1267,0.6194
0.988,27,0,0,0,0,-2464,144,-16540,66,9,-41,0.2735,0.8174,0.329,0.7492,0.3612,0.6856,0.3953,0.6303,0.4182,0.5881,0.2792,0.6111,0.286,0.5345,0.2895,0.4947,0.2911,0.4643,0.2359,0.6323,0.2291,0.543,0.2249,0.4949,0.2226,0.4653,0.2017,0.6722,0.1769,0.5989,0.1655,0.5574,0.1585,0.5264,0.1743,0.7223,0.1491,0.6751,0.1353,0.6428,0.1275,0.6217
