Timestamp,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Hand_X_0,Hand_Y_0,Hand_X_1,Hand_Y_1,Hand_X_2,Hand_Y_2,Hand_X_3,Hand_Y_3,Hand_X_4,Hand_Y_4,Hand_X_5,Hand_Y_5,Hand_X_6,Hand_Y_6,Hand_X_7,Hand_Y_7,Hand_X_8,Hand_Y_8,Hand_X_9,Hand_Y_9,Hand_X_10,Hand_Y_10,Hand_X_11,Hand_Y_11,Hand_X_12,Hand_Y_12,Hand_X_13,Hand_Y_13,Hand_X_14,Hand_Y_14,Hand_X_15,Hand_Y_15,Hand_X_16,Hand_Y_16,Hand_X_17,Hand_Y_17,Hand_X_18,Hand_Y_18,Hand_X_19,Hand_Y_19,Hand_X_20,Hand_Y_20
0.1,57,63,39,40,47,-2460,192,-16484,45,-52,-32,0.3628,0.8511,0.4137,0.7837,0.4408,0.7154,0.4652,0.6585,0.4853,0.6215,0.3573,0.6352,0.3564,0.5527,0.3543,0.5114,0.3525,0.4841,0.3144,0.6569,0.3015,0.5572,0.2955,0.5125,0.2925,0.4867,0.2802,0.6943,0.2576,0.6027,0.2487,0.5561,0.2441,0.5249,0.2547,0.7422,0.2288,0.6829,0.2163,0.6446,0.2093,0.6181
0.182,57,63,39,40,47,-2460,192,-16484,45,-52,-32,0.3646,0.856,0.4138,0.7848,0.4404,0.716,0.4649,0.6583,0.4859,0.6222,0.3566,0.636,0.3561,0.5493,0.3548,0.5083,0.3536,0.4828,0.3134,0.6571,0.2995,0.5536,0.2947,0.5096,0.2932,0.487,0.2794,0.6943,0.2561,0.6007,0.2481,0.5551,0.2445,0.5267,0.2546,0.7415,0.2278,0.6825,0.2151,0.6448,0.2076,0.6195
0.294,57,63,39,40,47,-2460,192,-16484,45,-52,-32,0.3634,0.8555,0.4136,0.7864,0.4401,0.7162,0.4649,0.6592,0.4854,0.624,0.3567,0.6339,0.3566,0.5522,0.3554,0.5119,0.3542,0.4861,0.3141,0.6562,0.3017,0.5565,0.2964,0.5119,0.2937,0.4858,0.2805,0.6939,0.2586,0.6036,0.2496,0.5563,0.2448,0.5244,0.2553,0.7416,0.2305,0.6834,0.2184,0.6458,0.2113,0.6205
0.403,85,181,155,112,140,-2392,132,-16456,34,-42,-45,0.3638,0.8597,0.4128,0.7896,0.4397,0.7183,0.4644,0.6584,0.4849,0.6201,0.3563,0.6337,0.3563,0.5456,0.3557,0.5069,0.356,0.4835,0.3124,0.6547,0.2982,0.5499,0.295,0.5083,0.2962,0.4889,0.2786,0.6925,0.2547,0.5962,0.2476,0.5493,0.2457,0.5201,0.2547,0.7402,0.228,0.6801,0.2155,0.6411,0.2088,0.6142
0.505,85,181,155,112,140,-2392,132,-16456,34,-42,-45,0.363,0.8522,0.4138,0.7835,0.4403,0.7143,0.464,0.6566,0.484,0.6201,0.3562,0.6323,0.3561,0.5503,0.3548,0.5105,0.3534,0.4841,0.3134,0.6539,0.3011,0.5538,0.2958,0.5103,0.2933,0.4853,0.2795,0.6914,0.2571,0.6002,0.2483,0.5537,0.2436,0.5225,0.2543,0.7384,0.2288,0.6798,0.2167,0.6414,0.2099,0.6147
0.592,85,181,155,112,140,-2392,132,-16456,34,-42,-45,0.3631,0.8506,0.4128,0.7816,0.4399,0.7125,0.4652,0.6537,0.4852,0.6147,0.3559,0.6309,0.356,0.5482,0.3548,0.5088,0.3535,0.4835,0.3132,0.6525,0.3012,0.5528,0.2962,0.5089,0.2943,0.4845,0.2796,0.6899,0.2576,0.5988,0.2499,0.5517,0.2463,0.5203,0.2546,0.7363,0.2293,0.6793,0.2171,0.6412,0.2101,0.6143
0.689,85,181,155,112,140,-2392,132,-16456,34,-42,-45,0.3594,0.8542,0.4093,0.7846,0.4368,0.7147,0.4616,0.655,0.4818,0.6148,0.3532,0.6345,0.3526,0.5468,0.3509,0.5059,0.3496,0.479,0.3096,0.6557,0.2965,0.5508,0.2932,0.508,0.2933,0.4866,0.2757,0.6935,0.2534,0.5958,0.2457,0.5482,0.2423,0.5184,0.2508,0.741,0.2265,0.6775,0.2154,0.638,0.2094,0.6113
0.806,85,181,155,112,140,-2392,132,-16456,34,-42,-45,0.3542,0.8623,0.4083,0.7951,0.4362,0.7249,0.4645,0.6688,0.4876,0.637,0.3562,0.6387,0.361,0.5579,0.3613,0.5148,0.3606,0.4865,0.3132,0.6589,0.3035,0.5613,0.2977,0.5122,0.294,0.4807,0.2796,0.6961,0.2605,0.605,0.2524,0.5562,0.2483,0.5217,0.2543,0.7431,0.2318,0.6826,0.2208,0.6421,0.215,0.6134
0.901,121,410,373,311,329,-2424,192,-16416,68,11,-49,0.3604,0.8767,0.415,0.8092,0.4461,0.7404,0.4801,0.6883,0.5084,0.6616,0.3666,0.6434,0.3764,0.5595,0.3794,0.5119,0.3812,0.481,0.3226,0.6608,0.3151,0.5607,0.3099,0.5097,0.3062,0.4755,0.2879,0.6963,0.2691,0.6062,0.2594,0.5592,0.2533,0.5257,0.2622,0.7416,0.2394,0.68,0.2275,0.6412,0.2201,0.6135
0.996,121,410,373,311,329,-2424,192,-16416,68,11,-49,0.3593,0.8884,0.4165,0.8251,0.4506,0.7598,0.4883,0.7127,0.5178,0.6851,0.3714,0.6503,0.3844,0.5671,0.3896,0.5199,0.3919,0.4851,0.3266,0.6651,0.3234,0.5656,0.3195,0.5158,0.3155,0.4829,0.291,0.7004,0.2753,0.6153,0.2658,0.5696,0.2583,0.5371,0.2636,0.7469,0.2442,0.6882,0.2344,0.651,0.2273,0.6247
