Timestamp,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Hand_X_0,Hand_Y_0,Hand_X_1,Hand_Y_1,Hand_X_2,Hand_Y_2,Hand_X_3,Hand_Y_3,Hand_X_4,Hand_Y_4,Hand_X_5,Hand_Y_5,Hand_X_6,Hand_Y_6,Hand_X_7,Hand_Y_7,Hand_X_8,Hand_Y_8,Hand_X_9,Hand_Y_9,Hand_X_10,Hand_Y_10,Hand_X_11,Hand_Y_11,Hand_X_12,Hand_Y_12,Hand_X_13,Hand_Y_13,Hand_X_14,Hand_Y_14,Hand_X_15,Hand_Y_15,Hand_X_16,Hand_Y_16,Hand_X_17,Hand_Y_17,Hand_X_18,Hand_Y_18,Hand_X_19,Hand_Y_19,Hand_X_20,Hand_Y_20
0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7334,0.6141,0.7201,0.3875,0.6485,0.1785,0.5689,0.0401,0.4958,-0.0463,0.5799,0.2339,0.5212,0.1231,0.4829,0.0419,0.4543,-0.0269,0.5469,0.3206,0.4714,0.2038,0.4507,0.125,0.4404,0.068,0.5276,0.4393,0.4642,0.3538,0.5464,0.4041,0.6143,0.4561,0.5194,0.5673,0.4782,0.4843,0.5398,0.5005,0.5953,0.5297
0.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7411,0.601,0.7303,0.3625,0.6616,0.1654,0.582,0.0349,0.5089,-0.0334,0.598,0.2156,0.5485,0.0916,0.5132,0.0115,0.4819,-0.0644,0.5585,0.3005,0.4882,0.2006,0.4616,0.1241,0.4406,0.0556,0.5348,0.4187,0.4708,0.3304,0.5491,0.3785,0.6122,0.4294,0.5232,0.5454,0.4799,0.4594,0.5419,0.4777,0.5974,0.5131
0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7371,0.554,0.7312,0.2966,0.6584,0.098,0.5775,-0.0061,0.513,-0.0466,0.5937,0.1636,0.5386,0.0552,0.4984,-0.0202,0.4653,-0.0813,0.5525,0.2501,0.4806,0.148,0.4463,0.0742,0.4173,0.0125,0.5273,0.3663,0.4582,0.2851,0.5382,0.3294,0.605,0.3775,0.5161,0.502,0.4686,0.4123,0.5295,0.4211,0.5878,0.4517
0.399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7278,0.517,0.7229,0.2707,0.6537,0.0589,0.5845,-0.0704,0.5253,-0.1375,0.5874,0.1116,0.5305,-0.0016,0.493,-0.0791,0.4639,-0.1428,0.5459,0.2016,0.4671,0.0949,0.435,0.0229,0.4092,-0.0347,0.5205,0.3234,0.4456,0.2352,0.5269,0.2799,0.5942,0.3282,0.5084,0.4628,0.4586,0.3702,0.5206,0.3824,0.5788,0.414
0.499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7234,0.4868,0.7148,0.2384,0.6458,0.0283,0.5743,-0.0962,0.5167,-0.1692,0.5819,0.0743,0.527,-0.0444,0.49,-0.126,0.4588,-0.1925,0.5385,0.1671,0.4626,0.0583,0.4365,-0.004,0.4125,-0.0538,0.5109,0.2915,0.433,0.1988,0.5182,0.252,0.5856,0.3052,0.4979,0.4325,0.4458,0.3384,0.5121,0.3555,0.5727,0.3894
0.591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7209,0.487,0.7155,0.2208,0.6411,0.0055,0.5629,-0.1082,0.5052,-0.1473,0.5767,0.0657,0.5134,-0.0519,0.4694,-0.1325,0.434,-0.1972,0.5329,0.1592,0.4533,0.0541,0.4223,-0.0159,0.3945,-0.0739,0.5061,0.2854,0.4232,0.1973,0.5124,0.2513,0.5823,0.3052,0.4952,0.4276,0.4423,0.3363,0.5111,0.3585,0.5725,0.3956
0.709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7099,0.4913,0.7065,0.232,0.6334,0.0121,0.5511,-0.1083,0.4851,-0.149,0.5638,0.0584,0.502,-0.0641,0.4572,-0.1436,0.4229,-0.2057,0.5172,0.153,0.4342,0.0441,0.4027,-0.0274,0.3752,-0.0864,0.4904,0.2808,0.414,0.1986,0.5046,0.2557,0.5739,0.31,0.4805,0.4247,0.4301,0.3392,0.4985,0.3599,0.5581,0.3922
0.807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6851,0.5835,0.6749,0.3011,0.6076,0.0732,0.5536,-0.0875,0.5104,-0.1929,0.5402,0.1243,0.4808,-0.0062,0.4362,-0.0945,0.4012,-0.1666,0.5058,0.2203,0.4333,0.1038,0.3963,0.02,0.363,-0.0506,0.4867,0.349,0.4168,0.267,0.4949,0.3193,0.5578,0.3669,0.4775,0.4939,0.4327,0.4128,0.4917,0.4425,0.5446,0.4764
0.901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6927,0.7077,0.6875,0.4384,0.6146,0.2061,0.5237,0.0562,0.4415,-0.011,0.5466,0.272,0.4847,0.1418,0.4383,0.0574,0.4022,-0.0188,0.5148,0.3672,0.44,0.2375,0.4068,0.1385,0.3778,0.0545,0.4968,0.4906,0.4243,0.4029,0.5026,0.4562,0.5669,0.5027,0.4861,0.6289,0.4414,0.5517,0.502,0.5869,0.5561,0.6233
0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6938,0.8206,0.6875,0.5829,0.623,0.3545,0.5397,0.191,0.4576,0.0874,0.5451,0.4007,0.487,0.2769,0.4512,0.1922,0.4247,0.1084,0.5149,0.4932,0.4381,0.3661,0.4129,0.2686,0.3955,0.1875,0.4975,0.6148,0.4333,0.532,0.5114,0.5945,0.5762,0.647,0.4881,0.7418,0.4523,0.6637,0.5144,0.6946,0.5679,0.7247
