Timestamp,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Hand_X_0,Hand_Y_0,Hand_X_1,Hand_Y_1,Hand_X_2,Hand_Y_2,Hand_X_3,Hand_Y_3,Hand_X_4,Hand_Y_4,Hand_X_5,Hand_Y_5,Hand_X_6,Hand_Y_6,Hand_X_7,Hand_Y_7,Hand_X_8,Hand_Y_8,Hand_X_9,Hand_Y_9,Hand_X_10,Hand_Y_10,Hand_X_11,Hand_Y_11,Hand_X_12,Hand_Y_12,Hand_X_13,Hand_Y_13,Hand_X_14,Hand_Y_14,Hand_X_15,Hand_Y_15,Hand_X_16,Hand_Y_16,Hand_X_17,Hand_Y_17,Hand_X_18,Hand_Y_18,Hand_X_19,Hand_Y_19,Hand_X_20,Hand_Y_20
0.11,69,119,61,63,85,-2460,92,-16520,60,-67,-57,0.5013,1.0114,0.5603,0.9436,0.5828,0.8681,0.5654,0.8244,0.5309,0.8335,0.5156,0.7342,0.542,0.6961,0.5563,0.6822,0.5691,0.67,0.4664,0.7435,0.4929,0.7415,0.5076,0.7767,0.515,0.8092,0.4309,0.7894,0.4543,0.7873,0.4697,0.8224,0.4774,0.8559,0.4088,0.8484,0.422,0.8403,0.4373,0.8635,0.4464,0.8899
0.208,69,119,61,63,85,-2460,92,-16520,60,-67,-57,0.4991,1.0105,0.5597,0.9478,0.5839,0.8755,0.5683,0.8296,0.5338,0.8438,0.5181,0.7333,0.5439,0.6946,0.5571,0.6883,0.5668,0.6837,0.4694,0.7436,0.4941,0.7367,0.5086,0.7685,0.5139,0.798,0.4338,0.7901,0.4535,0.788,0.4682,0.8219,0.4745,0.8563,0.4105,0.8493,0.4235,0.8437,0.4381,0.8681,0.4458,0.8967
0.3,69,119,61,63,85,-2460,92,-16520,60,-67,-57,0.502,1.009,0.5643,0.9443,0.5858,0.8714,0.5679,0.8311,0.5332,0.8484,0.5173,0.7306,0.543,0.6909,0.5561,0.6795,0.5673,0.6703,0.4669,0.7411,0.4928,0.7371,0.5074,0.7689,0.5142,0.7989,0.4317,0.7887,0.4527,0.7904,0.4677,0.8246,0.4746,0.8581,0.4095,0.8496,0.4221,0.848,0.437,0.8714,0.4454,0.898
0.396,69,119,61,63,85,-2460,92,-16520,60,-67,-57,0.5026,1.011,0.5616,0.9466,0.5838,0.8689,0.5656,0.8225,0.5306,0.8324,0.5192,0.7311,0.5441,0.691,0.557,0.6808,0.5672,0.6736,0.4699,0.7383,0.4934,0.7336,0.5069,0.7644,0.5128,0.7938,0.4335,0.7838,0.4525,0.7871,0.4659,0.8216,0.4713,0.8557,0.4099,0.8445,0.4215,0.8452,0.4352,0.8706,0.4414,0.8997
0.511,131,467,429,349,372,-2452,144,-16452,42,-14,-77,0.501,1.0126,0.5616,0.9474,0.5844,0.8693,0.5662,0.8245,0.5319,0.8379,0.5183,0.7278,0.545,0.688,0.5583,0.6785,0.5683,0.672,0.47,0.7381,0.496,0.7316,0.5106,0.7619,0.5156,0.7915,0.4347,0.7847,0.4555,0.7823,0.4699,0.8159,0.4749,0.8509,0.4116,0.845,0.4246,0.8386,0.4384,0.8628,0.444,0.8918
0.605,131,467,429,349,372,-2452,144,-16452,42,-14,-77,0.5008,1.0153,0.5608,0.9458,0.5843,0.8679,0.5652,0.8193,0.5294,0.8289,0.5169,0.7292,0.5434,0.6895,0.5574,0.6818,0.5686,0.6771,0.468,0.7401,0.4942,0.7322,0.5092,0.7618,0.5152,0.7903,0.4326,0.7873,0.4541,0.7853,0.4687,0.8178,0.4744,0.8519,0.4097,0.8478,0.4228,0.8431,0.4373,0.8665,0.4445,0.8948
0.7,131,467,429,349,372,-2452,144,-16452,42,-14,-77,0.5041,1.0147,0.5635,0.947,0.5866,0.87,0.5657,0.8251,0.5296,0.8391,0.5181,0.7275,0.545,0.6882,0.5582,0.6777,0.5682,0.6696,0.4692,0.7387,0.496,0.7345,0.5109,0.7659,0.5155,0.7946,0.4343,0.7867,0.4557,0.7884,0.4708,0.8229,0.4753,0.8569,0.4112,0.8484,0.4251,0.8452,0.4396,0.8692,0.4458,0.8977
0.799,131,467,429,349,372,-2452,144,-16452,42,-14,-77,0.4988,1.0117,0.5582,0.9488,0.5847,0.8714,0.5668,0.8238,0.5309,0.8314,0.518,0.7291,0.5443,0.6878,0.558,0.6765,0.5689,0.6665,0.4702,0.7373,0.4952,0.7329,0.5091,0.7646,0.5141,0.7933,0.4348,0.7828,0.4554,0.7811,0.4701,0.8139,0.4757,0.8462,0.4111,0.8424,0.425,0.8371,0.4397,0.8608,0.4464,0.8893
0.91,131,467,429,349,372,-2452,144,-16452,42,-14,-77,0.5027,1.0129,0.5601,0.9453,0.5834,0.8679,0.5664,0.8221,0.5329,0.8289,0.515,0.7271,0.5393,0.692,0.5539,0.6821,0.5663,0.6755,0.4675,0.7384,0.4913,0.736,0.5049,0.7651,0.5104,0.7919,0.4322,0.7854,0.4519,0.7841,0.4658,0.8153,0.4718,0.8459,0.4093,0.8467,0.4224,0.8404,0.4361,0.8633,0.443,0.8906
1.009,254,1527,1517,1226,1080,-2468,164,-16532,38,-49,-78,0.5072,1.0022,0.5647,0.931,0.5837,0.8546,0.5622,0.8124,0.5279,0.8241,0.5175,0.7182,0.5452,0.6795,0.5578,0.6739,0.5665,0.6709,0.4696,0.7313,0.4981,0.7215,0.5132,0.7496,0.5181,0.7768,0.4353,0.779,0.4588,0.7733,0.4737,0.8061,0.4781,0.8402,0.4127,0.8391,0.4293,0.8274,0.4446,0.8499,0.4509,0.8777
