Timestamp,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Hand_X_0,Hand_Y_0,Hand_X_1,Hand_Y_1,Hand_X_2,Hand_Y_2,Hand_X_3,Hand_Y_3,Hand_X_4,Hand_Y_4,Hand_X_5,Hand_Y_5,Hand_X_6,Hand_Y_6,Hand_X_7,Hand_Y_7,Hand_X_8,Hand_Y_8,Hand_X_9,Hand_Y_9,Hand_X_10,Hand_Y_10,Hand_X_11,Hand_Y_11,Hand_X_12,Hand_Y_12,Hand_X_13,Hand_Y_13,Hand_X_14,Hand_Y_14,Hand_X_15,Hand_Y_15,Hand_X_16,Hand_Y_16,Hand_X_17,Hand_Y_17,Hand_X_18,Hand_Y_18,Hand_X_19,Hand_Y_19,Hand_X_20,Hand_Y_20
0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6302,0.7638,0.6168,0.5457,0.578,0.3747,0.524,0.2404,0.4969,0.1305,0.4281,0.4912,0.3426,0.4254,0.2859,0.3933,0.2375,0.3661,0.4066,0.5986,0.3047,0.5477,0.2405,0.516,0.1866,0.4839,0.4053,0.7015,0.3111,0.6772,0.254,0.6475,0.2068,0.6129,0.4177,0.8125,0.3415,0.809,0.2918,0.7954,0.2465,0.7715
0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6338,0.7681,0.6169,0.5506,0.5775,0.3721,0.5256,0.2316,0.4975,0.1203,0.4285,0.4921,0.3424,0.4201,0.2858,0.3865,0.2371,0.3582,0.4056,0.6013,0.3031,0.5431,0.2386,0.5086,0.1838,0.4762,0.4037,0.7055,0.3099,0.6755,0.252,0.6435,0.2035,0.6089,0.4158,0.818,0.3414,0.8125,0.2924,0.7971,0.2465,0.7734
0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6334,0.7723,0.6144,0.5552,0.5733,0.3798,0.52,0.2407,0.4918,0.1283,0.4254,0.5009,0.3391,0.4348,0.2816,0.4027,0.2333,0.3764,0.4026,0.6108,0.2997,0.5592,0.2359,0.5291,0.1822,0.4996,0.4005,0.715,0.3066,0.6872,0.2496,0.6575,0.2021,0.6248,0.4124,0.827,0.3384,0.8202,0.2897,0.8033,0.2448,0.779
0.399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6351,0.7759,0.6124,0.5602,0.5704,0.3886,0.517,0.248,0.4882,0.1345,0.4248,0.5115,0.3383,0.4475,0.2808,0.4163,0.2321,0.3899,0.4024,0.6198,0.2994,0.5715,0.2356,0.543,0.181,0.5143,0.401,0.7224,0.3074,0.6987,0.2502,0.6709,0.2021,0.6402,0.4139,0.8326,0.3404,0.8299,0.2918,0.8159,0.2466,0.7948
0.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6379,0.7674,0.618,0.5513,0.5754,0.3796,0.521,0.2433,0.4901,0.1322,0.4278,0.4999,0.3413,0.4343,0.2844,0.4029,0.235,0.3745,0.4068,0.6095,0.3042,0.5597,0.239,0.5293,0.1834,0.4974,0.407,0.7145,0.3138,0.6919,0.2557,0.6651,0.2066,0.632,0.4216,0.8273,0.3475,0.8233,0.2989,0.8107,0.2536,0.7887
0.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6382,0.7613,0.6207,0.5461,0.58,0.3764,0.526,0.2404,0.4945,0.13,0.432,0.4975,0.3458,0.4316,0.289,0.4016,0.2394,0.376,0.4104,0.606,0.3079,0.556,0.2432,0.5263,0.1879,0.4965,0.4097,0.7102,0.3166,0.6863,0.2588,0.6594,0.2102,0.6287,0.4229,0.8211,0.3482,0.8197,0.2989,0.8077,0.253,0.7873
0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6421,0.7387,0.6228,0.5267,0.5798,0.3588,0.5251,0.2295,0.4972,0.122,0.431,0.4888,0.3443,0.425,0.2887,0.3958,0.2394,0.37,0.4117,0.596,0.3088,0.5502,0.2442,0.5214,0.1895,0.4933,0.4137,0.6959,0.3205,0.6775,0.2623,0.6521,0.2118,0.6219,0.4307,0.8027,0.3576,0.8032,0.3097,0.7923,0.2639,0.7726
0.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6528,0.708,0.6302,0.5003,0.5829,0.3381,0.5241,0.2079,0.4924,0.093,0.4392,0.4722,0.3509,0.4165,0.2945,0.3901,0.2447,0.365,0.4234,0.5791,0.3212,0.5413,0.2563,0.5157,0.2006,0.4902,0.4289,0.68,0.3363,0.6665,0.278,0.6478,0.2271,0.6219,0.449,0.7851,0.3777,0.7931,0.331,0.7836,0.2858,0.7633
0.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6736,0.6781,0.6452,0.4728,0.5959,0.3149,0.5397,0.1891,0.5078,0.084,0.4569,0.4484,0.3722,0.3996,0.3178,0.3767,0.272,0.3562,0.4439,0.5508,0.3451,0.5225,0.2846,0.5051,0.2333,0.4867,0.4499,0.6483,0.3617,0.6413,0.3079,0.6278,0.2619,0.6067,0.47,0.7487,0.404,0.7614,0.3627,0.756,0.3243,0.74
0.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7008,0.6209,0.6685,0.4271,0.62,0.276,0.5657,0.1614,0.5303,0.0722,0.4931,0.4056,0.4126,0.3629,0.3588,0.3425,0.3133,0.3246,0.4813,0.5005,0.3867,0.4756,0.3264,0.4601,0.2732,0.4433,0.4861,0.5925,0.3985,0.5874,0.3443,0.5735,0.2987,0.5527,0.5036,0.6882,0.4361,0.7011,0.3927,0.6945,0.353,0.6774
