Timestamp,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Hand_X_0,Hand_Y_0,Hand_X_1,Hand_Y_1,Hand_X_2,Hand_Y_2,Hand_X_3,Hand_Y_3,Hand_X_4,Hand_Y_4,Hand_X_5,Hand_Y_5,Hand_X_6,Hand_Y_6,Hand_X_7,Hand_Y_7,Hand_X_8,Hand_Y_8,Hand_X_9,Hand_Y_9,Hand_X_10,Hand_Y_10,Hand_X_11,Hand_Y_11,Hand_X_12,Hand_Y_12,Hand_X_13,Hand_Y_13,Hand_X_14,Hand_Y_14,Hand_X_15,Hand_Y_15,Hand_X_16,Hand_Y_16,Hand_X_17,Hand_Y_17,Hand_X_18,Hand_Y_18,Hand_X_19,Hand_Y_19,Hand_X_20,Hand_Y_20
0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.668,0.7864,0.6475,0.5668,0.6043,0.394,0.5579,0.238,0.5415,0.117,0.4693,0.4975,0.3783,0.4504,0.3221,0.4239,0.2717,0.3991,0.4534,0.6,0.3647,0.566,0.4389,0.5792,0.502,0.5894,0.4542,0.7078,0.3781,0.6825,0.4593,0.6845,0.5202,0.6893,0.4652,0.8242,0.4038,0.794,0.4582,0.7731,0.5053,0.7636
0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6774,0.7959,0.6556,0.5692,0.6099,0.3975,0.5624,0.2381,0.5493,0.1162,0.4769,0.503,0.3838,0.4515,0.3277,0.4205,0.2769,0.3947,0.4613,0.606,0.3681,0.5682,0.4387,0.5728,0.4993,0.5823,0.4638,0.7148,0.377,0.6869,0.4537,0.6796,0.5139,0.6846,0.4789,0.8341,0.4097,0.8064,0.457,0.7752,0.5016,0.7626
0.297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6788,0.8035,0.6591,0.574,0.6149,0.4002,0.5691,0.2389,0.5576,0.1146,0.479,0.5051,0.3855,0.4527,0.3286,0.4221,0.2778,0.3959,0.4635,0.6086,0.3643,0.5664,0.4343,0.5745,0.4991,0.5881,0.4659,0.719,0.3762,0.6903,0.4524,0.6858,0.515,0.6905,0.4816,0.8392,0.4105,0.8143,0.456,0.781,0.5018,0.7635
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6769,0.8098,0.6541,0.574,0.614,0.4005,0.5697,0.2331,0.5562,0.1059,0.4713,0.5034,0.3776,0.4459,0.3205,0.4134,0.2697,0.3877,0.4554,0.6084,0.3568,0.5646,0.4318,0.5784,0.4953,0.5915,0.4589,0.7207,0.3698,0.6896,0.4488,0.6889,0.5097,0.6932,0.4777,0.8393,0.4069,0.8143,0.4549,0.7821,0.4984,0.7643
0.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6705,0.806,0.6479,0.5716,0.6071,0.3955,0.5633,0.2299,0.5505,0.106,0.4627,0.502,0.3681,0.4453,0.3123,0.4109,0.2625,0.3835,0.4471,0.6067,0.3497,0.562,0.4262,0.5735,0.4905,0.5881,0.4507,0.7184,0.3646,0.6868,0.4449,0.6853,0.5054,0.6914,0.4696,0.838,0.4016,0.8142,0.4503,0.7801,0.4931,0.7614
0.609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6705,0.8039,0.6528,0.5816,0.6068,0.3995,0.5605,0.237,0.5447,0.112,0.4649,0.5077,0.3692,0.4535,0.3113,0.4187,0.2595,0.3894,0.4496,0.6146,0.3483,0.5717,0.4229,0.5767,0.4869,0.5899,0.4526,0.7265,0.365,0.6952,0.4473,0.6862,0.5079,0.6921,0.4676,0.8482,0.4012,0.8191,0.4536,0.7872,0.4985,0.7768
0.706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6738,0.8142,0.6525,0.5959,0.6061,0.4154,0.5598,0.2548,0.5425,0.1311,0.4633,0.524,0.3705,0.468,0.314,0.4334,0.2628,0.4065,0.4475,0.632,0.3498,0.5825,0.4278,0.5946,0.4881,0.6138,0.4514,0.7451,0.3689,0.7115,0.4532,0.7059,0.51,0.7151,0.4685,0.8691,0.4026,0.8359,0.4589,0.8032,0.5044,0.7945
0.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6698,0.8257,0.65,0.6131,0.6044,0.434,0.5592,0.2761,0.5396,0.157,0.4617,0.5374,0.3707,0.4865,0.3151,0.4531,0.2648,0.4283,0.4465,0.6466,0.3516,0.6016,0.4318,0.6137,0.4911,0.6324,0.4512,0.7597,0.3728,0.7312,0.459,0.7255,0.5137,0.7338,0.4685,0.882,0.4064,0.8499,0.4656,0.8195,0.5093,0.813
0.897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6636,0.8362,0.642,0.6242,0.5973,0.4449,0.5492,0.2878,0.5276,0.1608,0.4535,0.5493,0.3649,0.5008,0.3105,0.4694,0.2614,0.449,0.4392,0.6587,0.3501,0.6159,0.4348,0.6317,0.4911,0.6482,0.4452,0.771,0.3725,0.7454,0.4622,0.7444,0.5104,0.7508,0.4634,0.8934,0.4036,0.8679,0.4664,0.8387,0.5062,0.8282
1.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6602,0.8388,0.6424,0.6399,0.5921,0.4525,0.5412,0.2982,0.5162,0.1724,0.4534,0.5597,0.3621,0.5168,0.306,0.4908,0.2573,0.4676,0.4407,0.6688,0.3566,0.6258,0.4386,0.6431,0.4975,0.6612,0.4452,0.7795,0.375,0.7541,0.4625,0.7549,0.5173,0.7616,0.4612,0.8988,0.4011,0.8678,0.4617,0.8427,0.5057,0.8364
