Timestamp,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Hand_X_0,Hand_Y_0,Hand_X_1,Hand_Y_1,Hand_X_2,Hand_Y_2,Hand_X_3,Hand_Y_3,Hand_X_4,Hand_Y_4,Hand_X_5,Hand_Y_5,Hand_X_6,Hand_Y_6,Hand_X_7,Hand_Y_7,Hand_X_8,Hand_Y_8,Hand_X_9,Hand_Y_9,Hand_X_10,Hand_Y_10,Hand_X_11,Hand_Y_11,Hand_X_12,Hand_Y_12,Hand_X_13,Hand_Y_13,Hand_X_14,Hand_Y_14,Hand_X_15,Hand_Y_15,Hand_X_16,Hand_Y_16,Hand_X_17,Hand_Y_17,Hand_X_18,Hand_Y_18,Hand_X_19,Hand_Y_19,Hand_X_20,Hand_Y_20
0.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9152,0.943,0.9419,0.7088,0.8881,0.4717,0.7846,0.3638,0.7204,0.4498,0.712,0.485,0.6177,0.3697,0.554,0.3092,0.4996,0.2585,0.6649,0.5791,0.5612,0.4556,0.4952,0.3742,0.4417,0.3052,0.6414,0.6846,0.5399,0.5851,0.4804,0.5001,0.4328,0.4298,0.6344,0.8109,0.5528,0.729,0.5034,0.6683,0.4606,0.6104
0.197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9188,0.9421,0.9417,0.7044,0.8861,0.4703,0.7853,0.3697,0.7195,0.4502,0.7118,0.4872,0.618,0.3723,0.5539,0.3111,0.4985,0.2593,0.6647,0.5831,0.5605,0.4599,0.4927,0.3772,0.4382,0.3083,0.6419,0.6903,0.5409,0.5894,0.4807,0.5054,0.4321,0.4348,0.6362,0.8166,0.5543,0.7361,0.504,0.6754,0.4599,0.6167
0.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9294,0.9475,0.9458,0.7032,0.8899,0.4829,0.7883,0.3876,0.7264,0.4733,0.7127,0.5048,0.6201,0.3906,0.5582,0.3318,0.5047,0.2826,0.6673,0.6018,0.5635,0.4812,0.4965,0.4009,0.4412,0.3311,0.6459,0.7081,0.5465,0.6104,0.4869,0.5273,0.4397,0.4595,0.6419,0.8342,0.5599,0.7536,0.5085,0.6938,0.4651,0.636
0.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9274,0.9474,0.9449,0.7131,0.8948,0.4945,0.7937,0.3943,0.7307,0.4775,0.7168,0.5067,0.6256,0.3914,0.5635,0.3348,0.5092,0.2892,0.6719,0.6014,0.5691,0.4763,0.5036,0.3973,0.4483,0.3302,0.6494,0.7067,0.5491,0.6062,0.4886,0.5231,0.4401,0.4558,0.6436,0.8336,0.5604,0.7544,0.5107,0.6927,0.4687,0.6314
0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9251,0.9487,0.9471,0.7183,0.8894,0.4874,0.7865,0.3861,0.7247,0.4757,0.7131,0.5003,0.6184,0.3855,0.5551,0.3263,0.4998,0.2775,0.6679,0.5943,0.5641,0.4734,0.4975,0.3949,0.4421,0.329,0.6456,0.699,0.5453,0.6004,0.4855,0.5161,0.437,0.4473,0.6391,0.8238,0.5575,0.7436,0.508,0.6831,0.4656,0.6249
0.591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9168,0.9561,0.9399,0.7175,0.8852,0.4823,0.7834,0.3794,0.7198,0.4681,0.71,0.4945,0.6148,0.3799,0.5514,0.3204,0.497,0.2707,0.6629,0.5889,0.5589,0.4663,0.493,0.3862,0.4386,0.3187,0.6392,0.6936,0.5383,0.5955,0.4791,0.5117,0.4306,0.4431,0.6319,0.8186,0.5509,0.7375,0.5016,0.6773,0.4589,0.6207
0.691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9092,0.9596,0.9369,0.7152,0.8826,0.4769,0.7784,0.3728,0.7156,0.4612,0.7041,0.4896,0.6103,0.3741,0.5475,0.3137,0.4931,0.2622,0.6562,0.584,0.5522,0.461,0.4869,0.3792,0.4334,0.3097,0.6326,0.6899,0.5314,0.5927,0.4722,0.5067,0.4244,0.4336,0.6256,0.817,0.5429,0.7355,0.494,0.6727,0.4527,0.6123
0.802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9171,0.9359,0.9382,0.7015,0.8836,0.4683,0.7791,0.3676,0.7116,0.4484,0.7037,0.4816,0.6094,0.3675,0.5455,0.3069,0.4915,0.2547,0.6569,0.5777,0.5514,0.4563,0.4843,0.3757,0.4307,0.3061,0.6344,0.6849,0.5307,0.5852,0.4697,0.4995,0.421,0.4251,0.6292,0.8124,0.5463,0.7306,0.4955,0.668,0.4517,0.6063
0.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9231,0.9104,0.9506,0.6739,0.8988,0.4398,0.799,0.3357,0.733,0.4111,0.712,0.4499,0.6147,0.3298,0.5482,0.269,0.4901,0.2207,0.6656,0.5473,0.5584,0.4213,0.4878,0.3385,0.4292,0.2738,0.6427,0.6569,0.5385,0.552,0.476,0.4668,0.4223,0.3968,0.637,0.7872,0.5528,0.7,0.5026,0.6349,0.4569,0.571
0.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9214,0.9117,0.9514,0.6679,0.9039,0.4252,0.8017,0.3186,0.7354,0.4025,0.7192,0.4306,0.6256,0.3108,0.5613,0.2505,0.5061,0.1998,0.67,0.529,0.5654,0.3986,0.4972,0.3131,0.4402,0.2416,0.6452,0.6409,0.5416,0.5361,0.4793,0.4492,0.4274,0.3768,0.6377,0.7756,0.5544,0.6918,0.5031,0.6281,0.4567,0.5645
1.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9061,0.9178,0.9394,0.6683,0.8944,0.4203,0.7898,0.3175,0.7242,0.4072,0.7048,0.4323,0.6114,0.3132,0.5469,0.2515,0.4917,0.1981,0.6543,0.5346,0.5487,0.4065,0.4804,0.3245,0.4248,0.2559,0.6294,0.6492,0.5286,0.5447,0.4676,0.4589,0.4175,0.3862,0.6219,0.7864,0.5396,0.7019,0.491,0.6385,0.4481,0.5774
1.201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8542,0.9226,0.887,0.6719,0.8549,0.4272,0.7499,0.3182,0.6863,0.4164,0.6661,0.4457,0.5771,0.3251,0.5143,0.2633,0.4617,0.2117,0.6117,0.547,0.5084,0.4205,0.4454,0.3436,0.3934,0.2789,0.5818,0.6575,0.4813,0.5577,0.4254,0.4778,0.3805,0.4116,0.5689,0.793,0.4865,0.7181,0.4415,0.6574,0.4037,0.6014
1.299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7922,0.9101,0.8215,0.6599,0.7811,0.4207,0.6786,0.3177,0.6212,0.4127,0.5991,0.4513,0.5084,0.3368,0.4433,0.2811,0.3873,0.236,0.5483,0.5564,0.4437,0.4369,0.3768,0.3645,0.3226,0.3067,0.5222,0.6703,0.4203,0.5776,0.3627,0.5006,0.3176,0.4375,0.5136,0.8094,0.4296,0.7459,0.3814,0.6924,0.3391,0.6398
1.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7469,0.8914,0.767,0.6409,0.718,0.4075,0.6142,0.3184,0.5581,0.4215,0.5397,0.4517,0.4446,0.3451,0.3779,0.2966,0.3218,0.2586,0.4928,0.562,0.3828,0.453,0.3131,0.3879,0.2577,0.3374,0.4714,0.6786,0.366,0.5954,0.3062,0.5229,0.2599,0.4634,0.4684,0.8209,0.3853,0.7647,0.3385,0.712,0.3005,0.6627
1.491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7261,0.8973,0.7394,0.6306,0.6839,0.4057,0.5741,0.3211,0.5193,0.4281,0.509,0.4668,0.4095,0.3655,0.3411,0.3185,0.2811,0.2784,0.4653,0.5749,0.3519,0.4727,0.2775,0.4055,0.2154,0.3511,0.4478,0.6918,0.3398,0.6181,0.2747,0.551,0.2209,0.4937,0.4482,0.835,0.3612,0.7829,0.3094,0.7323,0.2642,0.6838
