Timestamp,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Hand_X_0,Hand_Y_0,Hand_X_1,Hand_Y_1,Hand_X_2,Hand_Y_2,Hand_X_3,Hand_Y_3,Hand_X_4,Hand_Y_4,Hand_X_5,Hand_Y_5,Hand_X_6,Hand_Y_6,Hand_X_7,Hand_Y_7,Hand_X_8,Hand_Y_8,Hand_X_9,Hand_Y_9,Hand_X_10,Hand_Y_10,Hand_X_11,Hand_Y_11,Hand_X_12,Hand_Y_12,Hand_X_13,Hand_Y_13,Hand_X_14,Hand_Y_14,Hand_X_15,Hand_Y_15,Hand_X_16,Hand_Y_16,Hand_X_17,Hand_Y_17,Hand_X_18,Hand_Y_18,Hand_X_19,Hand_Y_19,Hand_X_20,Hand_Y_20
0.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7026,0.7768,0.6717,0.5503,0.6338,0.3822,0.5667,0.2557,0.5341,0.1547,0.5561,0.4427,0.4886,0.4145,0.5518,0.4592,0.5875,0.4766,0.5334,0.5486,0.4684,0.5122,0.5537,0.5504,0.5832,0.5606,0.5259,0.657,0.4715,0.6167,0.5501,0.6378,0.5866,0.6488,0.5269,0.7643,0.4773,0.7298,0.5354,0.7197,0.567,0.7167
0.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6981,0.7854,0.6657,0.5593,0.6263,0.395,0.5585,0.2693,0.5265,0.1661,0.5472,0.4549,0.4817,0.4233,0.5442,0.4695,0.582,0.4922,0.5245,0.5593,0.4609,0.5203,0.5462,0.5598,0.5793,0.574,0.5182,0.6658,0.4652,0.6251,0.5427,0.6454,0.581,0.6583,0.5217,0.7706,0.4731,0.7376,0.5312,0.7246,0.5635,0.7196
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6969,0.7875,0.6671,0.5605,0.6301,0.3949,0.5604,0.2701,0.5242,0.1713,0.55,0.4552,0.4842,0.4234,0.5463,0.4733,0.5809,0.4972,0.5265,0.5582,0.4621,0.5203,0.5485,0.5619,0.5797,0.5745,0.5198,0.6631,0.4668,0.6241,0.5457,0.6481,0.5813,0.6611,0.5227,0.7691,0.4733,0.7371,0.5328,0.7265,0.563,0.7228
0.401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7037,0.7936,0.6731,0.5633,0.6364,0.3963,0.5671,0.2706,0.5287,0.1748,0.5552,0.4617,0.4907,0.4267,0.5522,0.4757,0.5874,0.5004,0.5315,0.5635,0.4676,0.5208,0.5541,0.5637,0.5872,0.5801,0.5252,0.6689,0.4723,0.6284,0.5512,0.6523,0.5883,0.6663,0.5296,0.7757,0.4807,0.7432,0.5414,0.7321,0.5733,0.7281
0.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7113,0.7942,0.6826,0.569,0.6463,0.3998,0.5756,0.2752,0.5388,0.1783,0.5644,0.4624,0.499,0.428,0.5616,0.4778,0.5946,0.4995,0.541,0.5621,0.4767,0.5221,0.5638,0.5644,0.5936,0.5767,0.5342,0.666,0.4803,0.6272,0.56,0.6533,0.5949,0.6664,0.5377,0.7711,0.4872,0.7412,0.5488,0.7334,0.5786,0.7322
0.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7228,0.7913,0.6951,0.5713,0.6571,0.3983,0.5881,0.2732,0.551,0.1781,0.5724,0.4637,0.5073,0.4287,0.5709,0.4748,0.605,0.497,0.5495,0.563,0.4857,0.5227,0.5743,0.5631,0.605,0.5778,0.5438,0.6652,0.4906,0.629,0.5709,0.6529,0.6063,0.666,0.5491,0.7685,0.5001,0.7436,0.5605,0.7318,0.5893,0.7277
0.701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7303,0.7876,0.7049,0.5647,0.6702,0.3925,0.6017,0.2693,0.5664,0.174,0.5802,0.459,0.5172,0.4243,0.5822,0.4688,0.6173,0.4911,0.5568,0.5571,0.4958,0.5161,0.5843,0.5563,0.6152,0.5724,0.5495,0.6593,0.4972,0.6185,0.5777,0.6431,0.6123,0.6591,0.5532,0.7668,0.5036,0.7329,0.5656,0.7221,0.5948,0.7225
0.798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7167,0.7844,0.6965,0.5708,0.6613,0.3957,0.5967,0.2617,0.562,0.1603,0.5715,0.442,0.5093,0.4099,0.5725,0.4647,0.6045,0.4832,0.5467,0.5432,0.4882,0.5073,0.5747,0.5545,0.6015,0.5645,0.5367,0.6485,0.4822,0.6103,0.5653,0.6404,0.5995,0.6521,0.5354,0.7573,0.4874,0.724,0.5514,0.7235,0.5817,0.7248
0.892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7113,0.7866,0.6859,0.559,0.6523,0.3904,0.5852,0.259,0.551,0.1572,0.5631,0.4418,0.5,0.4075,0.5623,0.4602,0.5995,0.485,0.5377,0.5443,0.4774,0.5051,0.5646,0.5528,0.5976,0.5672,0.5295,0.6508,0.4809,0.6123,0.56,0.6406,0.5964,0.6553,0.5308,0.7581,0.4838,0.7241,0.5445,0.722,0.5748,0.7212
0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.724,0.788,0.7001,0.5675,0.6636,0.389,0.5952,0.2611,0.5585,0.1633,0.5759,0.4486,0.5118,0.4092,0.574,0.4594,0.6088,0.485,0.5523,0.5472,0.4906,0.5054,0.5762,0.5496,0.6069,0.5658,0.5451,0.6505,0.4929,0.6132,0.5727,0.6414,0.6083,0.6573,0.5483,0.7578,0.5003,0.7275,0.5619,0.7222,0.5916,0.7256
