Timestamp,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Hand_X_0,Hand_Y_0,Hand_X_1,Hand_Y_1,Hand_X_2,Hand_Y_2,Hand_X_3,Hand_Y_3,Hand_X_4,Hand_Y_4,Hand_X_5,Hand_Y_5,Hand_X_6,Hand_Y_6,Hand_X_7,Hand_Y_7,Hand_X_8,Hand_Y_8,Hand_X_9,Hand_Y_9,Hand_X_10,Hand_Y_10,Hand_X_11,Hand_Y_11,Hand_X_12,Hand_Y_12,Hand_X_13,Hand_Y_13,Hand_X_14,Hand_Y_14,Hand_X_15,Hand_Y_15,Hand_X_16,Hand_Y_16,Hand_X_17,Hand_Y_17,Hand_X_18,Hand_Y_18,Hand_X_19,Hand_Y_19,Hand_X_20,Hand_Y_20
1782215441.58,815,3593,4095,4095,3644,-2508,196,-16604,41,-13,-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1782215441.663,839,2847,3175,3319,3318,-2508,160,-16496,25,-26,-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1782215441.769,409,188,345,467,1421,-2476,140,-16496,25,-56,-53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1782215441.896,0,0,0,0,0,-2572,172,-16652,38,-32,-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1782215441.978,34,0,0,0,0,-2552,136,-16540,69,-1,-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1782215442.374,75,143,105,100,125,-2528,120,-16388,64,-1,-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1782215442.871,171,703,685,548,524,-2488,224,-16552,50,-10,-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1782215443.377,407,2663,2615,2303,1919,-2552,124,-16504,43,-42,-19,0.2515,0.979,0.318,0.8885,0.3615,0.7491,0.3953,0.6311,0.4222,0.5465,0.2823,0.6216,0.3017,0.4902,0.3155,0.4129,0.3276,0.346,0.2352,0.618,0.2345,0.4783,0.2411,0.3817,0.2494,0.3,0.1918,0.6396,0.1786,0.5101,0.1807,0.4258,0.1872,0.3496,0.15,0.6816,0.1273,0.5866,0.1173,0.5219,0.1152,0.4556
1782215443.885,845,3494,4095,4095,3763,-2496,116,-16588,58,-56,-30,0.1982,0.9579,0.2283,0.8247,0.2432,0.6912,0.259,0.6,0.2778,0.533,0.1982,0.5946,0.2307,0.4508,0.2552,0.3623,0.2782,0.2955,0.1906,0.6129,0.2206,0.4475,0.2513,0.3513,0.2828,0.2819,0.2002,0.6572,0.272,0.5264,0.3299,0.4861,0.3744,0.4655,0.2255,0.7224,0.3041,0.6555,0.3524,0.6453,0.3897,0.6448
1782215444.386,839,2706,3027,3139,3171,-2512,92,-16548,66,40,-27,0.1812,0.9411,0.1619,0.7832,0.1542,0.6208,0.1447,0.5005,0.118,0.4171,0.1554,0.5549,0.2053,0.3836,0.2559,0.3156,0.2985,0.2814,0.1737,0.6091,0.2696,0.4516,0.3344,0.4003,0.3796,0.3721,0.2036,0.6694,0.2989,0.5314,0.3559,0.4881,0.3927,0.4645,0.2388,0.7315,0.3128,0.6336,0.354,0.5946,0.385,0.5638
